ID,NODE_MINUTES,NODES,EXECUTIONSTART,SHOTS,RESENTSHOTS,RESTART,SCNAME,NTHREADS,NCPU,ATTR01,ATTR02,ATTR03,ATTR04,ATTR05,ATTR06,ATTR07,ATTR08,ATTR09,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR20,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR30,ATTR31,ATTR32
374430116,2014,8,7/26/2018 9:19,70,0,F,center_9,1,2,?,?,?,?,?,30,?,0,0,3541,0,0,0,0,0,0,384,320,0,425,227.854,0,0,0,87,0,0,0,0,0,0,0,948152,4649302097,98,12,1168,0,0,0,0,0
376952363,803,8,7/26/2018 9:19,307,0,F,center_9,1,2,?,?,?,?,tamnone,0,?,0,0,1904,0,0,0,0,0,0,192,192,0,284,27.218,0,0,0,100,0,0,0,0,0,0,0,4656578,27920508649,98,12,1168,0,0,0,0,0
376034701,3995,8,7/26/2018 9:19,197,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.178,0,0,0,62,0,0,0,0,0,0,0,375693,1663226085,22,24,513,0,0,0,0,0
376034703,993,8,7/26/2018 9:19,63,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,29.922,0,0,0,62,0,0,0,0,0,0,0,211798,937841131,22,24,513,0,0,0,0,0
376637772,12539,16,7/26/2018 9:20,410,0,F,center_3,1,4,?,?,?,?,tamboth,19,?,0,0,2573,0,0,0,0,0,0,384,384,0,248,65.89,0,0,0,40,0,0,0,0,0,0,0,2998311,11861625929,55,16,876,0,0,0,0,0
376637773,5138,16,7/26/2018 9:21,415,0,F,center_2,1,4,?,?,?,?,tamboth,19,?,0,0,2573,0,0,0,0,0,0,384,384,0,248,65.829,0,0,0,40,0,0,0,0,0,0,0,3028697,11981885014,55,16,876,0,0,0,0,0
376034715,887,8,7/26/2018 9:21,66,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,29.857,0,0,0,62,0,0,0,0,0,0,0,266885,1182189748,22,24,513,0,0,0,0,0
370481131,729,8,7/26/2018 9:23,20,0,F,center_4,1,2,?,?,?,?,tamnone,0,?,0,0,4231,0,0,0,0,0,0,288,288,0,594,244.655,0,0,0,174,0,0,0,0,0,0,0,2664872,34738769231,751,4,3001,0,0,0,0,0
376765445,1482,8,7/26/2018 9:24,92,0,F,center_9,1,2,?,?,?,?,tamnone,0,?,20,0,2040,0,0,0,0,0,0,224,192,0,236,54.266,0,0,0,52,0,0,0,0,0,0,0,8487639,95333241585,417,6,2501,0,0,0,0,0
376858949,665,8,7/26/2018 9:26,233,0,F,center_10,1,4,?,?,?,?,tamnone,18,?,0,0,2340,0,0,0,0,0,0,192,160,0,284,32.677,0,0,0,68,0,0,0,0,0,0,0,1561616,17883170078,470,6,2816,0,0,0,0,0
